datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-10-30T22:12:35,-65.77147272031699,55.01347960367522,,,0.5,0.5,0.0,0.01,40.12,63.3,94,14.51,-4.9
2025-10-30T22:12:34,56.61296986558867,110.62383318539514,RU,Kichera,0.5,0.5,0.44,0.03,61.3,130.17,95,2.26,-10.12
2025-10-30T22:12:33,50.39438803181005,-132.07363359444335,,,2.81,11.62,0.32,0.56,93.87,94.21,84,16.04,11.25
2025-10-30T22:12:32,74.30471374234511,155.4132984629627,,,0.5,0.5,0.01,0.02,77.57,116.53,92,5.58,-10.98
2025-10-30T22:12:31,86.11580364506611,-64.92259045436158,,,0.5,0.5,0.0,0.02,59.2,113.57,92,1.9,-16.12
2025-10-30T22:12:30,70.95081634560518,-155.15708108391553,US,Barrow,0.5,2.32,0.06,0.03,65.08,108.47,90,7.06,-5.48
2025-10-30T22:12:29,62.78844733423139,-86.8853082699338,,,0.5,0.71,0.03,0.02,78.98,104.61,77,8.55,0.16
2025-10-30T22:12:28,-35.25617924916011,-151.19675054011097,,,0.8,3.19,0.02,0.1,50.34,65.55,63,3.7,14.68
2025-10-30T22:12:27,-40.12773349602303,-176.32683096253908,,,2.53,5.3,0.05,0.81,46.08,65.63,87,7.38,14.29
2025-10-30T22:12:26,-46.7709716042457,-32.18027864336648,,,1.76,4.79,0.01,0.21,48.48,66.42,81,4.18,7.46
2025-10-30T22:12:24,-55.75756684119759,35.17903352118938,,,0.5,1.1,0.0,0.09,40.98,65.75,58,9.21,-1.53
2025-10-30T22:12:23,-27.47586517823641,135.59275554509753,AU,Oodnadatta,7.15,29.01,0.06,0.04,47.4,80.13,39,9.91,22.89
2025-10-30T22:12:22,-60.48639220013532,133.3316999725934,,,1.81,2.41,0.0,0.11,39.21,67.71,97,13.39,1.35
2025-10-30T22:12:21,6.143377771334968,-89.042544217028,,,1.99,5.04,0.04,0.08,26.17,77.51,85,4.46,25.85
2025-10-30T22:12:20,88.48918682379272,-124.25137312831801,,,0.52,0.58,0.0,0.07,70.71,110.92,96,5.68,-12.21
2025-10-30T22:12:19,36.34184440481425,21.2183836981809,GR,Methóni,5.89,10.83,0.25,1.01,103.71,103.93,63,1.54,20.48
2025-10-30T22:12:18,-73.42393175475826,111.2646961287353,,,0.5,0.5,0.0,0.0,33.17,53.2,94,7.64,-42.4
2025-10-30T22:12:17,57.13398629666733,-69.26792835855602,CA,Kuujjuaq,1.07,1.13,0.09,0.01,57.79,94.36,71,1.68,4.46
2025-10-30T22:12:16,68.69144315142978,59.72552377373461,RU,Varnek,0.5,0.92,0.55,0.03,59.31,117.73,92,7.32,-3.42
2025-10-30T22:12:15,-38.5740293604769,-163.4233833448068,,,1.67,6.78,0.02,0.2,49.79,64.64,85,8.07,13.35
2025-10-30T22:12:14,44.21819053156105,132.9915636379073,RU,Chernyshëvka,15.77,19.35,5.79,1.34,41.88,204.83,77,0.75,-0.17
2025-10-30T22:12:13,-71.84143174426389,-171.73842270604626,,,0.76,2.11,0.0,0.16,38.1,69.63,92,10.37,-8.45
2025-10-30T22:12:12,-53.73722928365807,142.93067293898332,,,1.46,3.19,0.01,0.14,37.01,67.67,90,8.86,3.9
2025-10-30T22:12:11,-14.358308350836282,-175.0915665254851,,,3.26,12.02,0.01,0.17,41.18,72.96,78,9.13,27.26
