,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,no2,no2,no2,no2,no2,no2,no2,no2,o3,o3,o3,o3,o3,o3,o3,o3,co,co,co,co,co,co,co,co,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,1.0,1.87,,1.87,1.87,1.87,1.87,1.87,1.0,3.19,,3.19,3.19,3.19,3.19,3.19,1.0,1.1,,1.1,1.1,1.1,1.1,1.1,1.0,56.02,,56.02,56.02,56.02,56.02,56.02,1.0,91.84,,91.84,91.84,91.84,91.84,91.84,1.0,-8.13,,-8.13,-8.13,-8.13,-8.13,-8.13,1.0,19.0,,19.0,19.0,19.0,19.0,19.0
AG,1.0,1.57,,1.57,1.57,1.57,1.57,1.57,1.0,5.04,,5.04,5.04,5.04,5.04,5.04,1.0,0.38,,0.38,0.38,0.38,0.38,0.38,1.0,35.76,,35.76,35.76,35.76,35.76,35.76,1.0,117.97,,117.97,117.97,117.97,117.97,117.97,1.0,28.1,,28.1,28.1,28.1,28.1,28.1,1.0,75.0,,75.0,75.0,75.0,75.0,75.0
AO,5.0,1.094,0.5725644068574295,0.5,0.5,1.33,1.35,1.79,5.0,1.4220000000000002,0.8409934601410406,0.5,0.57,1.65,2.14,2.25,5.0,0.384,0.29821133445930587,0.14,0.19,0.34,0.36,0.89,5.0,26.536,8.390302735896958,18.77,19.59,24.53,31.07,38.72,5.0,153.95999999999998,6.052586224086356,145.02,152.08,154.32,157.16,161.22,5.0,19.616,1.6532483177066903,18.27,18.4,18.86,20.39,22.16,5.0,85.4,12.817956155331473,64.0,84.0,89.0,95.0,95.0
AQ,4.0,0.5175,0.034999999999999976,0.5,0.5,0.5,0.5175,0.57,4.0,0.8899999999999999,0.5605949220842681,0.5,0.59,0.6699999999999999,0.97,1.72,4.0,0.035,0.07,0.0,0.0,0.0,0.035,0.14,4.0,49.9975,2.2267970271221387,47.53,48.7,49.855000000000004,51.152499999999996,52.75,4.0,74.41499999999999,3.3511142425567404,70.54,72.175,74.77,77.00999999999999,77.58,4.0,-15.362499999999997,2.8616123077733633,-17.88,-17.654999999999998,-15.799999999999999,-13.5075,-11.97,4.0,79.5,7.0,71.0,75.5,80.0,84.0,87.0
AR,51.0,1.8903921568627453,1.759764712436653,0.5,0.59,1.14,2.67,8.71,51.0,4.288823529411765,3.9898564621092945,0.5,1.375,2.79,6.119999999999999,13.88,51.0,0.24803921568627454,0.25340102294855193,0.01,0.08,0.17,0.325,1.05,51.0,53.943921568627445,14.135623944974112,32.62,41.925,50.59,64.71000000000001,88.37,51.0,76.29607843137255,10.729339975680029,60.44,66.24000000000001,76.79,82.985,100.29,51.0,18.46019607843137,7.100778405272502,-2.83,13.120000000000001,20.38,24.009999999999998,27.96,51.0,43.21568627450981,22.57548557660738,12.0,25.5,36.0,52.5,100.0
AS,1.0,2.05,,2.05,2.05,2.05,2.05,2.05,1.0,6.5,,6.5,6.5,6.5,6.5,6.5,1.0,0.02,,0.02,0.02,0.02,0.02,0.02,1.0,38.31,,38.31,38.31,38.31,38.31,38.31,1.0,71.14,,71.14,71.14,71.14,71.14,71.14,1.0,27.76,,27.76,27.76,27.76,27.76,27.76,1.0,77.0,,77.0,77.0,77.0,77.0,77.0
AU,79.0,1.7905063291139243,1.21379348001994,0.5,1.045,1.42,2.04,7.37,79.0,4.507088607594937,3.702544569201001,0.74,2.2199999999999998,3.43,4.795,16.61,79.0,0.3331645569620253,0.3371621549457854,0.02,0.09,0.2,0.505,1.68,79.0,38.91139240506329,15.773468370862771,8.99,25.299999999999997,42.3,52.08,60.6,79.0,75.59506329113923,14.527532999791996,55.56,67.08500000000001,70.94,78.25,139.71,79.0,19.429113924050633,6.210815254689239,7.09,14.629999999999999,17.74,26.555,31.13,79.0,69.32911392405063,21.71063872437171,14.0,60.0,76.0,85.0,98.0
AX,1.0,2.34,,2.34,2.34,2.34,2.34,2.34,1.0,2.39,,2.39,2.39,2.39,2.39,2.39,1.0,2.42,,2.42,2.42,2.42,2.42,2.42,1.0,60.05,,60.05,60.05,60.05,60.05,60.05,1.0,124.71,,124.71,124.71,124.71,124.71,124.71,1.0,8.49,,8.49,8.49,8.49,8.49,8.49,1.0,88.0,,88.0,88.0,88.0,88.0,88.0
AZ,1.0,0.85,,0.85,0.85,0.85,0.85,0.85,1.0,1.36,,1.36,1.36,1.36,1.36,1.36,1.0,1.89,,1.89,1.89,1.89,1.89,1.89,1.0,81.62,,81.62,81.62,81.62,81.62,81.62,1.0,115.26,,115.26,115.26,115.26,115.26,115.26,1.0,16.81,,16.81,16.81,16.81,16.81,16.81,1.0,58.0,,58.0,58.0,58.0,58.0,58.0
BA,1.0,2.53,,2.53,2.53,2.53,2.53,2.53,1.0,4.88,,4.88,4.88,4.88,4.88,4.88,1.0,2.3,,2.3,2.3,2.3,2.3,2.3,1.0,32.62,,32.62,32.62,32.62,32.62,32.62,1.0,105.3,,105.3,105.3,105.3,105.3,105.3,1.0,12.73,,12.73,12.73,12.73,12.73,12.73,1.0,71.0,,71.0,71.0,71.0,71.0,71.0
BB,1.0,1.34,,1.34,1.34,1.34,1.34,1.34,1.0,4.22,,4.22,4.22,4.22,4.22,4.22,1.0,0.54,,0.54,0.54,0.54,0.54,0.54,1.0,25.02,,25.02,25.02,25.02,25.02,25.02,1.0,123.7,,123.7,123.7,123.7,123.7,123.7,1.0,28.3,,28.3,28.3,28.3,28.3,28.3,1.0,77.0,,77.0,77.0,77.0,77.0,77.0
BM,2.0,3.7700000000000005,1.244507934888324,2.89,3.33,3.7700000000000005,4.21,4.65,2.0,12.69,6.180113267570425,8.32,10.504999999999999,12.69,14.875,17.06,2.0,0.15,0.0,0.15,0.15,0.15,0.15,0.15,2.0,40.584999999999994,11.066221125569468,32.76,36.6725,40.584999999999994,44.497499999999995,48.41,2.0,109.36500000000001,12.565287501684947,100.48,104.9225,109.36500000000001,113.8075,118.25,2.0,25.125,0.34648232278140967,24.88,25.002499999999998,25.125,25.247500000000002,25.37,2.0,90.5,0.7071067811865476,90.0,90.25,90.5,90.75,91.0
BN,2.0,1.745,0.2899137802864844,1.54,1.6425,1.745,1.8475,1.95,2.0,1.955,0.38890872965260115,1.68,1.8175,1.955,2.0925,2.23,2.0,0.19,0.15556349186104046,0.08,0.135,0.19,0.245,0.3,2.0,3.17,0.7636753236814714,2.63,2.9,3.17,3.44,3.71,2.0,64.72,2.842569260369923,62.71,63.715,64.72,65.72500000000001,66.73,2.0,25.17,0.24041630560342606,25.0,25.085,25.17,25.255,25.34,2.0,93.0,0.0,93.0,93.0,93.0,93.0,93.0
BO,11.0,0.9345454545454545,0.19740129869702663,0.6,0.7949999999999999,0.94,1.065,1.23,11.0,1.3263636363636364,0.42188322382556825,0.67,1.14,1.15,1.63,1.98,11.0,0.1972727272727273,0.12506725463452928,0.06,0.08499999999999999,0.2,0.25,0.48,11.0,36.47363636363636,15.406692878568894,26.56,27.560000000000002,28.49,35.655,69.64,11.0,92.75,21.226146141021456,52.18,89.665,101.36,107.39500000000001,111.66,11.0,25.568181818181817,6.08967456960028,11.23,24.935000000000002,27.1,29.759999999999998,31.66,11.0,53.63636363636363,12.963585362643526,39.0,47.5,53.0,56.5,87.0
BR,79.0,2.19126582278481,1.7467679803426313,0.5,0.645,2.03,2.82,8.57,79.0,3.6262025316455686,3.6851504870630722,0.5,0.9,2.59,4.1,17.28,79.0,0.5773417721518986,0.5877416772104498,0.01,0.13,0.39,0.75,2.73,79.0,41.84417721518988,21.276764358283796,4.72,24.15,46.44,58.855000000000004,78.66,79.0,112.99911392405062,22.944021018270856,66.03,96.695,108.92,132.64,161.69,79.0,28.22367088607595,4.988998197885071,13.7,25.46,28.17,31.445,39.23,79.0,57.835443037974684,24.87168629120003,17.0,33.5,58.0,81.5,99.0
BS,4.0,4.390000000000001,0.6864886500639807,3.74,3.8375000000000004,4.355,4.9075,5.11,4.0,9.297500000000001,1.4761746734945251,7.42,8.530000000000001,9.485,10.252500000000001,10.8,4.0,0.6725,0.2223173407541571,0.42,0.5775,0.655,0.75,0.96,4.0,74.6175,27.120762495426515,50.05,58.2925,68.07,84.395,112.28,4.0,112.7975,6.865917637140719,104.3,109.85,112.99000000000001,115.9375,120.91,4.0,26.21,2.850415174438045,21.95,25.9625,27.505000000000003,27.7525,27.88,4.0,77.0,8.86942313043338,64.0,76.0,80.0,81.0,84.0
