datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature,pm10_class_predicted,pm10_high_probability,pm10_class_true
2025-10-30 22:12:34,56.61296986558867,110.62383318539514,RU,Kichera,0.5,0.5,0.44,0.03,61.3,130.17,95,2.26,-10.12,0,0.012329609901416946,0
2025-10-30 22:12:30,70.95081634560518,-155.15708108391553,US,Barrow,0.5,2.32,0.06,0.03,65.08,108.47,90,7.06,-5.48,0,0.01266591535521445,0
2025-10-30 22:12:19,36.34184440481425,21.2183836981809,GR,Methóni,5.89,10.83,0.25,1.01,103.71,103.93,63,1.54,20.48,0,0.4725726632082928,1
2025-10-30 22:12:17,57.13398629666733,-69.26792835855602,CA,Kuujjuaq,1.07,1.13,0.09,0.01,57.79,94.36,71,1.68,4.46,0,0.034988872038967,0
2025-10-30 22:12:16,68.69144315142978,59.72552377373461,RU,Varnek,0.5,0.92,0.55,0.03,59.31,117.73,92,7.32,-3.42,0,0.012383719323676297,0
2025-10-30 22:12:08,3.333228033501996,-72.18565135391744,CO,Mapiripán,0.51,0.51,0.53,0.01,15.8,101.21,94,2.86,23.54,0,0.45738256990945003,0
2025-10-30 22:12:05,-19.40008854816496,31.51826940608072,ZW,Dorowa Mining Lease,1.23,2.15,0.27,0.13,38.83,108.5,74,3.58,20.16,1,0.6713725736443945,0
2025-10-30 22:12:00,51.08392350363977,82.77594397331461,RU,Zmeinogorsk,4.66,5.8,2.3,1.65,73.56,129.07,65,2.0,3.44,0,0.01737616923201739,1
2025-10-30 22:11:59,67.82868778184121,71.25901134024687,RU,Yar-Sale,0.5,0.94,0.36,0.13,69.69,114.72,95,4.27,-13.8,0,0.012329609901416946,0
2025-10-30 22:11:47,1.419518153055492,-156.27974545756894,KI,Banana Village,2.43,12.33,0.01,0.14,57.35,74.4,75,8.49,25.9,1,0.938372752706359,1
2025-10-30 22:11:40,1.2645568183779403,18.895506950660064,CG,Gangania,1.5,2.24,0.26,0.07,1.62,125.08,96,1.08,21.02,0,0.11466465059158085,0
2025-10-30 22:11:38,55.9763675262401,98.98426110708516,RU,Kvitok,2.64,2.64,0.27,0.2,90.91,116.48,97,4.42,2.11,0,0.011377818349659386,0
2025-10-30 22:11:30,40.347011773522496,52.7399646224778,TM,Türkmenbaşy,2.3,3.95,0.18,0.4,86.7,112.1,60,4.54,15.16,1,0.5207042546529581,0
2025-10-30 22:11:21,-13.40969690000999,-42.1050318343172,BR,Paramirim,2.06,2.58,0.72,0.09,64.83,94.59,36,4.12,26.8,0,0.3298484170838997,0
2025-10-30 22:11:18,-23.72949561685532,35.58194648780113,MZ,Régulo Cassiano,2.49,8.16,0.09,0.31,54.55,77.78,80,8.07,23.97,1,0.8924524249468959,1
